,Unnamed: 0,firstSeen,lastSeen,icao24,callsign,estDepartureAirport,estArrivalAirport,registration,manufacturericao,manufacturername,model,typecode,serialnumber,linenumber,icaoaircrafttype,operator,operatorcallsign,operatoricao,operatoriata,owner,testreg,registered,reguntil,status,built,firstflightdate,seatconfiguration,engines,modes,adsb,acars,notes,categoryDescription,day
390,390,2021-10-23 19:51:06+00:00,2021-10-23 20:27:50+00:00,4ca24c,RYR5776,EIDW,EGPF,EI-DCZ,BOEING,The Boeing Company,BOEING 737-8AS,B738,33815,,L2J,,RYANAIR,RYR,,Ryanair Designated Activity Company,,2005-01-26,,,2004-01-01,,,2x CFM CFM56-7B26,False,False,False,,No ADS-B Emitter Category Information,23
391,391,2021-10-23 16:07:10+00:00,2021-10-23 20:37:21+00:00,40665e,TOM99V,LGRP,EGPF,G-TAWC,BOEING,Boeing Company,BOEING 737-8K5,B738,39922,,L2J,,TOMSON,TOM,,Thomson Airways,,2016-04-28,,,2012-01-01,,,2 x CFM CFM56-7B27E<br>,False,False,False,,,23
392,392,2021-10-23 19:56:00+00:00,2021-10-23 21:04:31+00:00,485206,KLM49J,EHAM,EGPF,PH-EXE,EMBRAER,Embraer,EMB-190 STD,E190,19000687,,L2J,Klm Cityhopper,CITY,KLC,WA,Klm Cityhopper,,,,,,,,,False,False,False,,Large (75000 to 300000 lbs),23
393,393,2021-10-23 19:31:51+00:00,2021-10-23 22:22:00+00:00,406b91,EZY87FE,LPFR,EGPF,G-EZWY,AIRBUS,Airbus Sas,AIRBUS A320-214,A320,6267,,L2J,,EASY,EZY,,Easyjet Airline,,2017-06-12,,,2014-01-01,,,2 x CFM CFM56-5B4/3<br>,False,False,False,,No ADS-B Emitter Category Information,23
394,394,2021-10-23 20:12:51+00:00,2021-10-23 22:50:06+00:00,405b64,EZY79VL,LEPA,EGPF,G-EZDK,AIRBUS,Airbus Sas,AIRBUS A319-111,A319,3555,,L2J,,EASY,EZY,,Easyjet Airline,,2008-06-11,,,2008-01-01,,,2 x CFM CFM56-5B5/3<br>,False,False,False,,,23
395,395,2021-10-23 18:43:30+00:00,2021-10-23 23:05:16+00:00,407567,EZY49ZD,LGKO,EGPF,,,,,,,,,,,,,,,,,,,,,,,,,,,23
396,396,2021-10-23 19:23:02+00:00,2021-10-23 23:13:38+00:00,406015,EZY6888,,EGPF,G-EZTK,AIRBUS,Airbus Sas,AIRBUS A320-214,A320,3991,,L2J,,EASY,EZY,,Easyjet Airline,,2009-07-24,,,2009-01-01,,,2 x CFM CFM56-5B4/3<br>,False,False,False,,No ADS-B Emitter Category Information,23
397,397,2021-10-23 20:00:10+00:00,2021-10-24 00:28:28+00:00,405e24,TOM655,,EGPF,G-FDZS,BOEING,Boeing Company,BOEING 737-8K5,B738,35147,,L2J,,TOMSON,TOM,,Thomson Airways,,2009-04-14,,,2009-01-01,,,2 x CFM CFM56-7B27/3<br>,False,False,False,,No ADS-B Emitter Category Information,24
398,398,2021-10-23 21:00:09+00:00,2021-10-24 00:35:19+00:00,4070ec,EXS95EZ,,EGPF,,,,,,,,,,,,,,,,,,,,,,,,,,,24
399,399,2021-10-23 21:10:25+00:00,2021-10-24 00:55:08+00:00,40766d,EXS144,,EGPF,,,,,,,,,,,,,,,,,,,,,,,,,,,24
400,400,2021-10-23 21:29:53+00:00,2021-10-24 01:13:45+00:00,407177,EXS138,,EGPF,,,,,,,,,,,,,,,,,,,,,,False,False,False,,Large (75000 to 300000 lbs),24
401,401,2021-10-23 20:38:12+00:00,2021-10-24 01:35:29+00:00,40717c,EXS15L,,EGPF,,,,,,,,,,,,,,,,,,,,,,,,,,,24
402,402,2021-10-23 23:53:26+00:00,2021-10-24 03:30:27+00:00,4062d5,EXS8DF,,EGPF,G-LSAK,BOEING,Boeing Company,BOEING 757-23N,B752,27973,,L2J,,CHANNEX,EXS,,Jet2,,2010-01-28,,,1996-01-01,,,2 x ROLLS-ROYCE RB211-535E4-37<br>,False,False,False,,No ADS-B Emitter Category Information,24
403,403,2021-10-24 04:47:06+00:00,2021-10-24 05:06:51+00:00,4073e0,GMA01,,EGPF,G-GMAE,RAYTHEON,Beech Aircraft Corporation,BEECH B200 Super Kingair,BE20,BB-1957,,L2T,Gama Aviation,GAMA,GMA,,Gama Aviation,,2017-07-21,,,2006-01-01,,,2 x PRATT &amp; WHITNEY CANADA PT6A-42&nbsp;&nbsp;( HARTZELL HC-E4N-3G/D9390SK-1R )<br>,False,False,False,,,24
404,404,2021-10-24 04:56:34+00:00,2021-10-24 07:23:58+00:00,48c2a5,RYR4203,EPKK,EGPF,,,,,,,,,,,,,,,,,,,,,,,,,,,24
405,405,2021-10-24 06:52:47+00:00,2021-10-24 07:26:57+00:00,4ca2cb,EIN2EV,EIDW,EGPF,EI-DER,AIRBUS,Airbus Industrie,A320-214,A320,2583,,L2J,,SHAMROCK,EIN,,Aer Lingus Limited,,2005-11-03,,,2005-01-01,,,2x CFM CFM56-5B4/P,False,False,False,,No ADS-B Emitter Category Information,24
406,406,2021-10-24 07:07:24+00:00,2021-10-24 08:04:16+00:00,405b66,EZY787P,EGKK,EGPF,G-EZDM,AIRBUS,Airbus Sas,AIRBUS A319-111,A319,3571,,L2J,,EASY,EZY,,Easyjet Airline,,2008-07-01,,,2008-01-01,,,2 x CFM CFM56-5B5/3<br>,False,False,False,,No ADS-B Emitter Category Information,24
407,407,2021-10-24 08:22:32+00:00,2021-10-24 08:41:44+00:00,4073e0,GMA01B,,EGPF,G-GMAE,RAYTHEON,Beech Aircraft Corporation,BEECH B200 Super Kingair,BE20,BB-1957,,L2T,Gama Aviation,GAMA,GMA,,Gama Aviation,,2017-07-21,,,2006-01-01,,,2 x PRATT &amp; WHITNEY CANADA PT6A-42&nbsp;&nbsp;( HARTZELL HC-E4N-3G/D9390SK-1R )<br>,False,False,False,,,24
408,408,2021-10-24 08:00:34+00:00,2021-10-24 08:50:41+00:00,406015,EZY747E,EGGD,EGPF,G-EZTK,AIRBUS,Airbus Sas,AIRBUS A320-214,A320,3991,,L2J,,EASY,EZY,,Easyjet Airline,,2009-07-24,,,2009-01-01,,,2 x CFM CFM56-5B4/3<br>,False,False,False,,No ADS-B Emitter Category Information,24
409,409,2021-10-24 08:39:59+00:00,2021-10-24 09:05:35+00:00,406c43,CFE7327,EGAC,EGPF,G-LCYU,EMBRAER,Embraer Sa,ERJ 190-100 SR Embraer 190,E190,19000674,,L2J,,FLYER,CFE,,Ba Cityflyer,,2014-09-04,,,2014-01-01,,,2 x GENERAL ELECTRIC CO CF34-10E5A1<br>,False,False,False,,Large (75000 to 300000 lbs),24
410,410,2021-10-24 09:12:22+00:00,2021-10-24 10:04:58+00:00,405ee1,SHT6L,EGLL,EGPF,G-EUYD,AIRBUS,Airbus Sas,AIRBUS A320-232,A320,3726,,L2J,,SPEEDBIRD,BAW,,British Airways,,2008-12-16,,,2008-01-01,,,2 x INTERNATIONAL AERO ENGINE V2527-A5<br>,False,False,False,,No ADS-B Emitter Category Information,24
411,411,2021-10-24 09:23:18+00:00,2021-10-24 10:12:49+00:00,400936,BAW9273,EGLL,EGPF,G-EUOA,AIRBUS,Airbus Industrie,AIRBUS A319-131,A319,1513,,L2J,,SPEEDBIRD,BAW,,British Airways,,2001-06-15,,,2001-01-01,,,2 x INTERNATIONAL AERO ENGINE V2522-A5<br>,False,False,False,,No ADS-B Emitter Category Information,24
412,412,2021-10-24 09:39:48+00:00,2021-10-24 10:37:56+00:00,400d5a,BAW2512,EGKK,EGPF,G-DBCG,AIRBUS,Airbus Sas,AIRBUS A319-131,A319,2694,,L2J,,SPEEDBIRD,BAW,,British Airways,,2012-07-25,,,2005-01-01,,,2 x INTERNATIONAL AERO ENGINE V2522-A5<br>,False,False,False,,No ADS-B Emitter Category Information,24
413,413,2021-10-24 10:59:40+00:00,2021-10-24 11:27:58+00:00,406df5,GSGTS,,EGPF,G-SGTS,VIKING (2),Viking Air Ltd,DHC-6 SERIES 400 Twin Otter,DHC6,918,,L2T,,,,,Loganair,,2015-05-21,,,2014-01-01,,,2 x PRATT &amp; WHITNEY CANADA PT6A-34&nbsp;&nbsp;( HARTZELL HC-B3TN-3D/T10282NB )<br>,False,False,False,,,24
414,414,2021-10-24 11:32:57+00:00,2021-10-24 11:59:21+00:00,407567,EZY623V,EGAA,EGPF,,,,,,,,,,,,,,,,,,,,,,,,,,,24
415,415,2021-10-24 04:34:46+00:00,2021-10-24 12:03:07+00:00,896112,UAE27,OMDB,EGPF,A6-ECK,BOEING,Boeing,Boeing 777-31H(ER),B77W,35584,,L2J,,EMIRATES,UAE,,Emirates Airline,,,,,,,,,False,False,False,,No ADS-B Emitter Category Information,24
416,416,2021-10-24 11:14:15+00:00,2021-10-24 12:06:59+00:00,405b6a,EZY658N,EGGW,EGPF,,,,,,,,,,,,,,,,,,,,,,,,,,,24
417,417,2021-10-24 12:13:19+00:00,2021-10-24 12:39:34+00:00,4012d2,GBVVK,,EGPF,G-BVVK,VIKING (2),De Havilland Canada,DHC-6 SERIES 310 Twin Otter,DHC6,666,,L2T,Flybe,JERSEY,BEE,BE,Flybe,,1997-04-07,,,1980-01-01,,,2 x PRATT &amp; WHITNEY CANADA PT6A-27&nbsp;&nbsp;( HARTZELL HC-B3TN-3D/T10282B+0 )<br>,False,False,False,,,24
418,418,2021-10-24 12:24:35+00:00,2021-10-24 12:41:28+00:00,401da3,GBGIY,EGPF,EGPF,G-BGIY,REIMS,Reims Aviation Sa,REIMS CESSNA F172N Skyhawk,C172,1824,,L1P,,,,,Acs Aviation Ltd,,2017-01-20,,,1979-01-01,,,1 x LYCOMING O-320-H2AD&nbsp;&nbsp;( MCCAULEY 1C160/DTM7557 )<br>,False,False,False,,Light (< 15500 lbs),24
419,419,2021-10-24 10:17:08+00:00,2021-10-24 13:04:46+00:00,407177,EXS9FQ,LEPA,EGPF,,,,,,,,,,,,,,,,,,,,,,False,False,False,,Large (75000 to 300000 lbs),24
420,420,2021-10-24 10:19:02+00:00,2021-10-24 13:11:29+00:00,406b91,EZY96EM,,EGPF,G-EZWY,AIRBUS,Airbus Sas,AIRBUS A320-214,A320,6267,,L2J,,EASY,EZY,,Easyjet Airline,,2017-06-12,,,2014-01-01,,,2 x CFM CFM56-5B4/3<br>,False,False,False,,No ADS-B Emitter Category Information,24
421,421,2021-10-24 10:37:52+00:00,2021-10-24 13:24:09+00:00,407631,EXS8HQ,LEAL,EGPF,,,,,,,,,,,,,,,,,,,,,,,,,,,24
422,422,2021-10-24 10:34:56+00:00,2021-10-24 13:27:07+00:00,4070ec,EXS3CN,LPFR,EGPF,,,,,,,,,,,,,,,,,,,,,,,,,,,24
423,423,2021-10-24 12:42:32+00:00,2021-10-24 13:34:55+00:00,406b5a,SHT6R,EGLL,EGPF,G-GATK,AIRBUS,Airbus Sas,AIRBUS A320-232,A320,1902,,L2J,,SPEEDBIRD,BAW,,British Airways,,2014-12-17,,,2002-01-01,,,2 x INTERNATIONAL AERO ENGINE V2527-A5<br>,False,False,False,,,24
424,424,2021-10-24 13:08:40+00:00,2021-10-24 13:45:06+00:00,4ca24e,RYR5774,EIDW,EGPF,EI-DCX,BOEING,The Boeing Company,BOEING 737-8AS,B738,33569,,L2J,,RYANAIR,RYR,,Ryanair Designated Activity Company,,2005-01-21,,,2004-01-01,,,2x CFM CFM56-7B26,False,False,False,,No ADS-B Emitter Category Information,24
425,425,2021-10-24 12:56:39+00:00,2021-10-24 13:50:29+00:00,405635,EZY734Q,EGGW,EGPF,G-EZDF,AIRBUS,Airbus Sas,AIRBUS A319-111,A319,3432,,L2J,,EASY,EZY,,Easyjet,,2008-03-13,,,2008-01-01,,,2 x CFM CFM56-5B5/3<br>,False,False,False,,No ADS-B Emitter Category Information,24
426,426,2021-10-24 13:36:19+00:00,2021-10-24 14:09:26+00:00,406df4,GHIAL,,EGPF,G-HIAL,VIKING (2),Viking Air Ltd,DHC-6 SERIES 400 Twin Otter,DHC6,917,,L2T,,,,,Loganair,,2015-05-15,,,2014-01-01,,,2 x PRATT &amp; WHITNEY CANADA PT6A-34&nbsp;&nbsp;( HARTZELL HC-B3TN-3D/T10282NB )<br>,False,False,False,,,24
427,427,2021-10-24 14:13:31+00:00,2021-10-24 14:38:02+00:00,406df5,GSGTS,,EGPF,G-SGTS,VIKING (2),Viking Air Ltd,DHC-6 SERIES 400 Twin Otter,DHC6,918,,L2T,,,,,Loganair,,2015-05-21,,,2014-01-01,,,2 x PRATT &amp; WHITNEY CANADA PT6A-34&nbsp;&nbsp;( HARTZELL HC-B3TN-3D/T10282NB )<br>,False,False,False,,,24
428,428,2021-10-24 13:21:00+00:00,2021-10-24 14:53:59+00:00,3c5469,DLH974,EDDF,EGPF,D-AECI,EMBRAER,Embraer,EMB-190 LR,E190,19000381,,L2J,,LUFTHANSA,DLH,,Lufthansa Regional,,,,,,,,,False,False,False,,Large (75000 to 300000 lbs),24
429,429,2021-10-24 13:52:30+00:00,2021-10-24 14:57:29+00:00,484b31,KLM55C,EHAM,EGPF,PH-EZD,EMBRAER,Embraer,EMB-190 STD,E190,19000279,,L2J,,CITY,KLC,,Klm Cityhopper,,,,,,,,,False,False,False,,No ADS-B Emitter Category Information,24
430,430,2021-10-24 14:28:44+00:00,2021-10-24 15:10:15+00:00,401da3,GBGIY,EGPF,EGPF,G-BGIY,REIMS,Reims Aviation Sa,REIMS CESSNA F172N Skyhawk,C172,1824,,L1P,,,,,Acs Aviation Ltd,,2017-01-20,,,1979-01-01,,,1 x LYCOMING O-320-H2AD&nbsp;&nbsp;( MCCAULEY 1C160/DTM7557 )<br>,False,False,False,,Light (< 15500 lbs),24
431,431,2021-10-24 12:07:15+00:00,2021-10-24 15:36:13+00:00,405e24,TOM5EA,,EGPF,G-FDZS,BOEING,Boeing Company,BOEING 737-8K5,B738,35147,,L2J,,TOMSON,TOM,,Thomson Airways,,2009-04-14,,,2009-01-01,,,2 x CFM CFM56-7B27/3<br>,False,False,False,,No ADS-B Emitter Category Information,24
432,432,2021-10-24 14:34:00+00:00,2021-10-24 15:39:27+00:00,40757f,EZY958A,EGKK,EGPF,G-UZHP,AIRBUS,,Airbus A320-251N,A20N,8433,,L2J,,,,,,,,,,,,,,False,False,False,,,24
433,433,2021-10-24 15:32:54+00:00,2021-10-24 16:23:16+00:00,4007e4,SHT6F,EGLL,EGPF,G-MIDY,AIRBUS,Airbus Industrie,AIRBUS A320-232,A320,1014,,L2J,,SPEEDBIRD,BAW,,British Airways,,2012-10-10,,,1999-01-01,,,2 x INTERNATIONAL AERO ENGINE V2527-A5<br>,False,False,False,,No ADS-B Emitter Category Information,24
434,434,2021-10-24 13:49:35+00:00,2021-10-24 16:33:43+00:00,40665e,TOM25T,,EGPF,G-TAWC,BOEING,Boeing Company,BOEING 737-8K5,B738,39922,,L2J,,TOMSON,TOM,,Thomson Airways,,2016-04-28,,,2012-01-01,,,2 x CFM CFM56-7B27E<br>,False,False,False,,,24
435,435,2021-10-24 16:20:01+00:00,2021-10-24 16:48:38+00:00,406df4,GHIAL,,EGPF,G-HIAL,VIKING (2),Viking Air Ltd,DHC-6 SERIES 400 Twin Otter,DHC6,917,,L2T,,,,,Loganair,,2015-05-15,,,2014-01-01,,,2 x PRATT &amp; WHITNEY CANADA PT6A-34&nbsp;&nbsp;( HARTZELL HC-B3TN-3D/T10282NB )<br>,False,False,False,,,24
436,436,2021-10-24 15:42:52+00:00,2021-10-24 16:51:35+00:00,406015,EZY804J,EGJJ,EGPF,G-EZTK,AIRBUS,Airbus Sas,AIRBUS A320-214,A320,3991,,L2J,,EASY,EZY,,Easyjet Airline,,2009-07-24,,,2009-01-01,,,2 x CFM CFM56-5B4/3<br>,False,False,False,,No ADS-B Emitter Category Information,24
437,437,2021-10-24 15:59:55+00:00,2021-10-24 16:54:16+00:00,406753,EZY865U,EGGD,EGPF,G-EZWB,AIRBUS,Airbus Sas,AIRBUS A320-214,A320,5224,U21948,L2J,Easyjet,EASY,EZY,U2,Easyjet Airline,,2012-08-07,,,2012-01-01,,,2 x CFM CFM56-5B4/3<br>,False,False,False,,No ADS-B Emitter Category Information,24
438,438,2021-10-24 13:17:31+00:00,2021-10-24 17:04:48+00:00,4076da,EXS043A,,EGPF,,,,,,,,,,,,,,,,,,,,,,,,,,,24
439,439,2021-10-24 17:02:22+00:00,2021-10-24 17:46:41+00:00,407567,EZY384Q,EGBB,EGPF,,,,,,,,,,,,,,,,,,,,,,,,,,,24
440,440,2021-10-24 17:30:12+00:00,2021-10-24 18:22:26+00:00,406b91,EZY108M,EGSS,EGPF,G-EZWY,AIRBUS,Airbus Sas,AIRBUS A320-214,A320,6267,,L2J,,EASY,EZY,,Easyjet Airline,,2017-06-12,,,2014-01-01,,,2 x CFM CFM56-5B4/3<br>,False,False,False,,No ADS-B Emitter Category Information,24
441,441,2021-10-24 17:34:36+00:00,2021-10-24 18:28:58+00:00,40123f,SHT6J,EGLL,EGPF,G-EUUS,AIRBUS,Airbus Sas,AIRBUS A320-232,A320,3301,,L2J,,SPEEDBIRD,BAW,,British Airways,,2007-12-05,,,2007-01-01,,,2 x INTERNATIONAL AERO ENGINE V2527-A5<br>,False,False,False,,No ADS-B Emitter Category Information,24
442,442,2021-10-24 18:32:31+00:00,2021-10-24 18:57:28+00:00,406c43,CFE7331,EGAC,EGPF,G-LCYU,EMBRAER,Embraer Sa,ERJ 190-100 SR Embraer 190,E190,19000674,,L2J,,FLYER,CFE,,Ba Cityflyer,,2014-09-04,,,2014-01-01,,,2 x GENERAL ELECTRIC CO CF34-10E5A1<br>,False,False,False,,Large (75000 to 300000 lbs),24
443,443,2021-10-24 18:16:06+00:00,2021-10-24 19:08:50+00:00,405a47,SHT6K,EGLL,EGPF,G-EUUY,AIRBUS,Airbus Sas,AIRBUS A320-232,A320,3607,,L2J,,SPEEDBIRD,BAW,,British Airways,,2008-09-18,,,2008-01-01,,,2 x INTERNATIONAL AERO ENGINE V2527-A5<br>,False,False,False,,No ADS-B Emitter Category Information,24
444,444,2021-10-24 18:24:01+00:00,2021-10-24 19:18:58+00:00,40631a,EZY647T,EGGW,EGPF,G-EZFV,AIRBUS,Airbus Sas,AIRBUS A319-111,A319,4327,,L2J,,EASY,EZY,,Easyjet Airline,,2010-06-04,,,2010-01-01,,,2 x CFM CFM56-5B5/3<br>,False,False,False,,,24
445,445,2021-10-24 18:56:10+00:00,2021-10-24 19:23:48+00:00,406015,EZY142Q,EGAA,EGPF,G-EZTK,AIRBUS,Airbus Sas,AIRBUS A320-214,A320,3991,,L2J,,EASY,EZY,,Easyjet Airline,,2009-07-24,,,2009-01-01,,,2 x CFM CFM56-5B4/3<br>,False,False,False,,No ADS-B Emitter Category Information,24
446,446,2021-10-24 18:35:03+00:00,2021-10-24 19:37:22+00:00,40757f,EZY689J,EGKK,EGPF,G-UZHP,AIRBUS,,Airbus A320-251N,A20N,8433,,L2J,,,,,,,,,,,,,,False,False,False,,,24
447,447,2021-10-24 18:48:30+00:00,2021-10-24 19:43:33+00:00,4008ad,BAW1356,EGLL,EGPF,G-EUPN,AIRBUS,Airbus Industrie,AIRBUS A319-131,A319,1261,,L2J,,SPEEDBIRD,BAW,,British Airways,,2000-07-10,,,2000-01-01,,,2 x INTERNATIONAL AERO ENGINE V2522-A5<br>,False,False,False,,,24
448,448,2021-10-24 16:18:15+00:00,2021-10-24 19:56:28+00:00,40766d,EXS95EZ,,EGPF,,,,,,,,,,,,,,,,,,,,,,,,,,,24
449,449,2021-10-24 16:17:22+00:00,2021-10-24 19:59:51+00:00,40717c,EXS8DF,,EGPF,,,,,,,,,,,,,,,,,,,,,,,,,,,24
450,450,2021-10-24 19:19:01+00:00,2021-10-24 20:13:32+00:00,4079d1,CFE9V,EGLC,EGPF,,,,,,,,,,,,,,,,,,,,,,,,,,,24
451,451,2021-10-24 19:55:42+00:00,2021-10-24 20:45:50+00:00,400b83,SHT6M,EGLL,EGPF,G-DBCE,AIRBUS,Airbus Sas,AIRBUS A319-131,A319,2429,,L2J,,SPEEDBIRD,BAW,,British Airways,,2012-07-06,,,2005-01-01,,,2 x INTERNATIONAL AERO ENGINE V2522-A5<br>,False,False,False,,No ADS-B Emitter Category Information,24
452,452,2021-10-24 20:03:08+00:00,2021-10-24 21:06:13+00:00,484b31,KLM49J,EHAM,EGPF,PH-EZD,EMBRAER,Embraer,EMB-190 STD,E190,19000279,,L2J,,CITY,KLC,,Klm Cityhopper,,,,,,,,,False,False,False,,No ADS-B Emitter Category Information,24
453,453,2021-10-24 20:21:54+00:00,2021-10-24 21:13:53+00:00,406c72,EZY359C,EGGD,EGPF,G-EZWZ,AIRBUS,Airbus Sas,AIRBUS A320-214,A320,6353,,L2J,,EASY,EZY,,Easyjet Airline,,2014-11-21,,,2014-01-01,,,2 x CFM CFM56-5B4/3<br>,False,False,False,,No ADS-B Emitter Category Information,24
454,454,2021-10-24 20:38:19+00:00,2021-10-24 21:17:35+00:00,4ca8e4,RYR5776,EIDW,EGPF,EI-ENR,BOEING,The Boeing Company,BOEING 737-8AS,B738,35041,,L2J,,RYANAIR,RYR,,Ryanair Designated Activity Company,,2011-02-01,,,2011-01-01,,,2x CFM CFM56-7B,False,False,False,,No ADS-B Emitter Category Information,24
455,455,2021-10-24 20:55:19+00:00,2021-10-24 21:30:41+00:00,400dc2,GMA03B,EGPD,EGPF,G-SASC,RAYTHEON,Raytheon Aircraft Company,BEECH B200C Super Kingair,BE20,BL-150,,L2T,Gama Aviation,GAMA,GMA,,Gama Aviation,,2005-12-30,,,2005-01-01,,,2 x PRATT &amp; WHITNEY CANADA PT6A-42&nbsp;&nbsp;( HARTZELL HC-D4N-3A/D9383K )<br>,False,False,False,,,24
456,456,2021-10-24 20:54:24+00:00,2021-10-24 21:41:37+00:00,407567,EZY727A,EGBB,EGPF,,,,,,,,,,,,,,,,,,,,,,,,,,,24
457,457,2021-10-24 21:03:06+00:00,2021-10-24 21:54:01+00:00,406b91,EZY507W,EGSS,EGPF,G-EZWY,AIRBUS,Airbus Sas,AIRBUS A320-214,A320,6267,,L2J,,EASY,EZY,,Easyjet Airline,,2017-06-12,,,2014-01-01,,,2 x CFM CFM56-5B4/3<br>,False,False,False,,No ADS-B Emitter Category Information,24
458,458,2021-10-24 19:16:14+00:00,2021-10-24 21:57:10+00:00,4010e9,EZY6876,LEAL,EGPF,G-EZBU,AIRBUS,Airbus Sas,AIRBUS A319-111,A319,3118,,L2J,,EASY,EZY,,Easyjet Airline,,2007-05-14,,,2007-01-01,,,2 x CFM CFM56-5B5/P<br>,False,False,False,,No ADS-B Emitter Category Information,24
459,459,2021-10-24 20:33:22+00:00,2021-10-25 00:37:39+00:00,4070ec,EXS32TE,,EGPF,,,,,,,,,,,,,,,,,,,,,,,,,,,25
460,460,2021-10-24 21:14:12+00:00,2021-10-25 01:33:03+00:00,407177,EXS15LP,,EGPF,,,,,,,,,,,,,,,,,,,,,,False,False,False,,Large (75000 to 300000 lbs),25
461,461,2021-10-25 01:26:31+00:00,2021-10-25 01:42:48+00:00,4077c7,HLE05,,EGPF,,,,,,,,,,,,,,,,,,,,,,,,,,,25
462,462,2021-10-24 22:32:26+00:00,2021-10-25 03:22:29+00:00,405e24,TOM3YB,LCLK,EGPF,G-FDZS,BOEING,Boeing Company,BOEING 737-8K5,B738,35147,,L2J,,TOMSON,TOM,,Thomson Airways,,2009-04-14,,,2009-01-01,,,2 x CFM CFM56-7B27/3<br>,False,False,False,,No ADS-B Emitter Category Information,25
463,463,2021-10-25 03:35:47+00:00,2021-10-25 04:11:58+00:00,4073e0,GMA01,EGQS,EGPF,G-GMAE,RAYTHEON,Beech Aircraft Corporation,BEECH B200 Super Kingair,BE20,BB-1957,,L2T,Gama Aviation,GAMA,GMA,,Gama Aviation,,2017-07-21,,,2006-01-01,,,2 x PRATT &amp; WHITNEY CANADA PT6A-42&nbsp;&nbsp;( HARTZELL HC-E4N-3G/D9390SK-1R )<br>,False,False,False,,,25
464,464,2021-10-25 05:33:00+00:00,2021-10-25 06:31:42+00:00,406014,EZY368V,EGKK,EGPF,G-EZTJ,AIRBUS,Airbus Sas,AIRBUS A320-214,A320,3979,,L2J,,EASY,EZY,,Easyjet Airline,,2009-07-17,,,2009-01-01,,,2 x CFM CFM56-5B4/3<br>,False,False,False,,No ADS-B Emitter Category Information,25
465,465,2021-10-25 06:04:12+00:00,2021-10-25 07:01:18+00:00,407795,EZY596J,EGGD,EGPF,,,,,,,,,,,,,,,,,,,,,,,,,,,25
466,466,2021-10-25 05:32:38+00:00,2021-10-25 07:13:57+00:00,3c5463,DLH960,EDDF,EGPF,D-AECC,EMBRAER,Embraer,EMB-190 LR,E190,19000333,,L2J,,LUFTHANSA,DLH,LH,Lufthansa Regional,,,,,,,,,False,False,False,,Large (75000 to 300000 lbs),25
467,467,2021-10-25 04:43:33+00:00,2021-10-25 07:15:59+00:00,48c233,RYR64TA,EPMO,EGPF,,,,,,,,,,,,,,,,,,,,,,,,,,,25
468,468,2021-10-25 06:54:24+00:00,2021-10-25 07:20:59+00:00,406015,EZY652A,EGAA,EGPF,G-EZTK,AIRBUS,Airbus Sas,AIRBUS A320-214,A320,3991,,L2J,,EASY,EZY,,Easyjet Airline,,2009-07-24,,,2009-01-01,,,2 x CFM CFM56-5B4/3<br>,False,False,False,,No ADS-B Emitter Category Information,25
469,469,2021-10-25 06:47:08+00:00,2021-10-25 07:24:10+00:00,4ca5c8,EIN2EV,EIDW,EGPF,EI-DVE,AIRBUS,Airbus Industrie,A320-214,A320,3129,,L2J,,SHAMROCK,EIN,,Aer Lingus Limited,,2007-05-18,,,2007-01-01,,,2x CFM CFM56-5B4/P,False,False,False,,No ADS-B Emitter Category Information,25
470,470,2021-10-25 06:46:45+00:00,2021-10-25 07:42:47+00:00,407777,CFE8720,EGLC,EGPF,,,,,,,,,,,,,,,,,,,,,,,,,,,25
471,471,2021-10-25 08:05:50+00:00,2021-10-25 08:31:42+00:00,440689,OEGHB,EGNT,EGPF,OE-GHB,CESSNA,Cessna,Citation XLS,C56X,560-5569,,L2J,,,,,Bertsch Aviation Gmbh,,,,,,,,,False,False,False,,No ADS-B Emitter Category Information,25
472,472,2021-10-25 08:00:04+00:00,2021-10-25 08:54:55+00:00,4075fe,SHT6G,EGLL,EGPF,G-NEOS,AIRBUS,Airbus Industrie,321-251NX,A21N,,,L2J,British Airways,SPEEDBIRD,BAW,BA,,,2019-01-29,,,,,,,False,False,False,,,25
473,473,2021-10-25 08:02:49+00:00,2021-10-25 09:00:54+00:00,407567,EZY787P,EGKK,EGPF,,,,,,,,,,,,,,,,,,,,,,,,,,,25
474,474,2021-10-25 08:11:40+00:00,2021-10-25 09:03:29+00:00,405b64,EZY378A,EGGW,EGPF,G-EZDK,AIRBUS,Airbus Sas,AIRBUS A319-111,A319,3555,,L2J,,EASY,EZY,,Easyjet Airline,,2008-06-11,,,2008-01-01,,,2 x CFM CFM56-5B5/3<br>,False,False,False,,,25
475,475,2021-10-25 07:03:16+00:00,2021-10-25 09:06:54+00:00,49d08e,TVL574P,LKPR,EGPF,OK-SWT,BOEING,Boeing,737NG 7Q8,B737,29346,,L2J,,SKYTRAVEL,TVS,,Smartwings,,,,,,,,,False,False,False,,No ADS-B Emitter Category Information,25
476,476,2021-10-25 07:59:21+00:00,2021-10-25 09:09:59+00:00,484557,KLM1473,EHAM,EGPF,PH-BXZ,BOEING,Boeing,737NG 8K2/W,B738,30368,,L2J,,KLM,KLM,,Klm Royal Dutch Airlines,,,,,,,,,False,False,False,,No ADS-B Emitter Category Information,25
