,Unnamed: 0,firstSeen,lastSeen,icao24,callsign,estDepartureAirport,estArrivalAirport,registration,manufacturericao,manufacturername,model,typecode,serialnumber,linenumber,icaoaircrafttype,operator,operatorcallsign,operatoricao,operatoriata,owner,testreg,registered,reguntil,status,built,firstflightdate,seatconfiguration,engines,modes,adsb,acars,notes,categoryDescription,day
1557,1557,2021-11-10 12:19:27+00:00,2021-11-10 12:42:50+00:00,a27de8,N26NZ,EGPG,EGPF,N26NZ,,Cessna,T206H,,T20608401,,,,,,,Bank Of Utah Trustee,,,2022-07-31,,2003-01-01,,,LYCOMING TIO-540-AJ1A,False,False,False,,,10
1558,1558,2021-11-10 11:50:10+00:00,2021-11-10 12:47:15+00:00,40756b,EZY659T,EGSS,EGPF,,,,,,,,,,,,,,,,,,,,,,,,,,,10
1559,1559,2021-11-10 04:11:08+00:00,2021-11-10 12:49:18+00:00,a7d8fb,BOE204,KBFI,EGPF,,,,,,,,,,,,,,,,,,,,,,,,,,,10
1560,1560,2021-11-10 11:56:36+00:00,2021-11-10 12:52:08+00:00,407989,BZE05A,EGGW,EGPF,G-LATO,CESSNA,Textron Aviation Inc,CESSNA 680A,C68A,680A-0237,0,L2J,Zenith Aviation Ltd. - United Kingdom,BRAZIL AIR,BZE,,Zenith Aviation Limited,,,,,,,,,False,False,False,,,10
1561,1561,2021-11-10 12:41:06+00:00,2021-11-10 13:18:08+00:00,4ca301,RYR5774,EIDW,EGPF,EI-DLV,BOEING,The Boeing Company,BOEING 737-8AS,B738,33598,,L2J,,RYANAIR,RYR,,Ryanair Designated Activity Company,,2006-09-28,,,2006-01-01,,,2x CFM CFM56-7B26,False,False,False,,No ADS-B Emitter Category Information,10
1562,1562,2021-11-10 12:47:16+00:00,2021-11-10 13:30:23+00:00,407377,MDI01,EGNV,EGPF,G-IASB,RAYTHEON,Textron Aviation Inc,BEECH B200GT Super Kingair,BE20,BY-278,,L2T,,,,,Ias Medical Ltd,,2017-08-08,,,2017-01-01,,,2 x PRATT &amp; WHITNEY CANADA PT6A-52&nbsp;&nbsp;( HARTZELL HC-E4N-3A/NC9208K )<br>,False,False,False,,,10
1563,1563,2021-11-10 13:32:38+00:00,2021-11-10 14:28:11+00:00,405457,SHT6R,EGLL,EGPF,G-EUUW,AIRBUS,Airbus Sas,AIRBUS A320-232,A320,3499,,L2J,,SPEEDBIRD,BAW,,British Airways,,2008-06-02,,,2007-01-01,,,2 x INTERNATIONAL AERO ENGINE V2527-A5<br>,False,False,False,,No ADS-B Emitter Category Information,10
1564,1564,2021-11-10 14:20:33+00:00,2021-11-10 14:32:33+00:00,406de7,CG199,,EGPF,G-MCGR,LEONARDO,Agustawestland Ltd,AGUSTA AW189,A189,92004,,H2T,Bristow Helicopters,BRISTOW,BHL,,Bristow Helicopters Ltd,,2016-12-13,,,2014-01-01,,,2 x GENERAL ELECTRIC CO CT7-2E1<br>,False,False,False,,Rotorcraft,10
1565,1565,2021-11-10 13:11:08+00:00,2021-11-10 14:45:47+00:00,3c4dc3,DLH974,EDDF,EGPF,D-ACNC,CANADAIR,Bombardier,CRJ 900 LR NG,CRJ9,15236,,L2J,,LUFTHANSA,DLH,,Lufthansa Regional,,,,,,,,,False,False,False,,No ADS-B Emitter Category Information,10
1566,1566,2021-11-10 14:37:44+00:00,2021-11-10 15:01:10+00:00,406df4,GHIAL,,EGPF,G-HIAL,VIKING (2),Viking Air Ltd,DHC-6 SERIES 400 Twin Otter,DHC6,917,,L2T,,,,,Loganair,,2015-05-15,,,2014-01-01,,,2 x PRATT &amp; WHITNEY CANADA PT6A-34&nbsp;&nbsp;( HARTZELL HC-B3TN-3D/T10282NB )<br>,False,False,False,,,10
